face wenli variance904,face wenli variance544,face wenli variance686,right ear wenli variance398,left ear wenli mean480,left ear wenli variance358,face wenli variance648,face wenli variance179,face wenli variance896,left ear wenli variance512,face wenli variance1163,face wenli variance479,right ear wenli variance1303,left ear wenli variance1400,face wenli variance895,face wenli mean464,right ear wenli variance1182,left ear wenli mean1280,left ear wenli variance472,left ear wenli mean222,left ear wenli variance214,right ear wenli variance1294,face wenli variance1024,face wenli variance128,right ear wenli variance1464,right ear wenli variance1351,left ear wenli variance496,face wenli variance526,left ear wenli variance1184,left ear wenli variance488
0.584281,0.570889,0.500941,0.484881,0.49559,0.408247,0.600708,0.193411,0.587393,0.52459,0.205731,0.297227,0.338547,0.55369,0.304471,0.590802,0.505597,0.520695,0.599278,0.318941,0.173757,0.434954,0.554725,0.203604,0.365151,0.335343,0.546208,0.479123,0.652843,0.553605
0.547014,0.569294,0.490429,0.488811,0.503023,0.45201,0.561434,0.200665,0.556871,0.559529,0.212517,0.306931,0.355559,0.853764,0.302791,0.517691,0.499045,0.462374,0.596971,0.290517,0.122276,0.419347,0.564239,0.215971,0.347802,0.339273,0.600548,0.476746,0.63559,0.596218
0.579986,0.579871,0.546614,0.386632,0.482292,0.267409,0.583357,0.194388,0.584784,0.596169,0.198274,0.306661,0.319701,0.876658,0.317314,0.502513,0.474698,0.496159,0.611069,0.356637,0.198293,0.454266,0.564883,0.438743,0.32852,0.319837,0.6197,0.499108,0.62519,0.620277
0.584741,0.57957,0.545477,0.515879,0.493595,0.495996,0.588734,0.171839,0.57675,0.461432,0.180241,0.296923,0.356387,0.711285,0.310849,0.591058,0.509811,0.459916,0.462782,0.461339,0.40145,0.476153,0.570791,0.53347,0.365586,0.355859,0.479085,0.496358,0.56624,0.471311
0.571798,0.548399,0.494629,0.384599,0.470942,0.325671,0.592621,0.195582,0.548294,0.527873,0.205224,0.275525,0.344314,0.536441,0.30518,0.638544,0.438607,0.490719,0.50351,0.376686,0.247827,0.509103,0.536383,0.21007,0.328214,0.340751,0.507971,0.453044,0.61704,0.499223
0.561172,0.548178,0.514327,0.527357,0.506797,0.437476,0.572438,0.19756,0.564262,0.566269,0.204219,0.296685,0.341255,0.617584,0.308947,0.632012,0.475989,0.51325,0.532628,0.494765,0.42445,0.491198,0.542287,0.20591,0.35428,0.34009,0.540749,0.495968,0.530793,0.531211
0.576661,0.557019,0.501342,0.56957,0.510386,0.418951,0.572258,0.192498,0.579979,0.326569,0.201698,0.309049,0.331225,0.765151,0.3086,0.665326,0.521055,0.536318,0.445032,0.467695,0.419946,0.476182,0.550723,0.202168,0.497261,0.331897,0.387501,0.490653,0.377632,0.395843
0.580622,0.57392,0.516741,0.483575,0.508916,0.346975,0.592664,0.200306,0.586053,0.507254,0.207801,0.303504,0.340018,0.826048,0.308266,0.541621,0.510289,0.512243,0.522178,0.345744,0.224368,0.438647,0.568831,0.213833,0.33064,0.337511,0.493791,0.482958,0.640286,0.493703
0.563981,0.546858,0.501928,0.485421,0.524118,0.339641,0.571484,0.21188,0.566018,0.518036,0.214413,0.301364,0.344573,0.793613,0.311193,0.660929,0.491225,0.473388,0.464327,0.431162,0.308427,0.467619,0.525173,0.22602,0.328471,0.339074,0.483252,0.441724,0.61963,0.44706
0.566247,0.568554,0.524637,0.428414,0.476122,0.33855,0.573798,0.200394,0.571914,0.569124,0.202167,0.304505,0.349804,0.55549,0.311751,0.565672,0.453079,0.479645,0.584483,0.423903,0.313631,0.479121,0.560984,0.20826,0.337179,0.328255,0.552721,0.496274,0.471453,0.577896
0.567019,0.555609,0.499099,0.446599,0.517686,0.362749,0.586945,0.202389,0.583216,0.468172,0.211618,0.301867,0.342564,0.852094,0.308297,0.598532,0.461282,0.482389,0.555227,0.346287,0.244344,0.476289,0.549984,0.217601,0.319499,0.313691,0.556625,0.491771,0.638023,0.5611
0.564445,0.529335,0.485058,0.50197,0.530633,0.397018,0.556786,0.193507,0.571026,0.602294,0.203982,0.307951,0.321618,0.857669,0.310201,0.567114,0.477242,0.496989,0.562618,0.237772,0.168466,0.289308,0.533133,0.206773,0.332187,0.321515,0.558858,0.428345,0.474688,0.528294
0.552032,0.500131,0.489844,0.473249,0.506972,0.438821,0.560995,0.19856,0.556719,0.574803,0.204884,0.304857,0.335913,0.838232,0.308369,0.82971,0.484963,0.508193,0.624094,0.394299,0.09468,0.434512,0.537698,0.210692,0.327577,0.314003,0.605061,0.403159,0.52091,0.582189
0.567029,0.5635,0.50558,0.485713,0.511762,0.475112,0.571599,0.198687,0.561939,0.619502,0.206311,0.296235,0.329477,0.87815,0.309918,0.602833,0.464496,0.447304,0.568303,0.26983,0.118087,0.393606,0.542557,0.211476,0.32057,0.30688,0.581032,0.478077,0.475956,0.660504
0.571255,0.551447,0.496919,0.440321,0.525761,0.482095,0.577014,0.18565,0.571766,0.437801,0.195824,0.293109,0.341496,0.864893,0.303109,0.724609,0.446832,0.409305,0.480965,0.294185,0.149665,0.50827,0.565889,0.195047,0.314103,0.332746,0.471709,0.455907,0.44361,0.455632
0.587403,0.578296,0.50152,0.392732,0.497137,0.389622,0.605478,0.185632,0.573589,0.574418,0.197628,0.273977,0.343756,0.851224,0.301315,0.738307,0.494725,0.477404,0.572381,0.282636,0.14034,0.434273,0.543909,0.195891,0.331675,0.32291,0.615349,0.481825,0.586029,0.604487
0.603299,0.586057,0.502419,0.461897,0.489668,0.357213,0.612402,0.174494,0.607933,0.625648,0.185143,0.27351,0.322606,0.875447,0.303193,0.64563,0.45243,0.446459,0.639974,0.246758,0.085326,0.453434,0.580506,0.180151,0.31197,0.325164,0.624059,0.486845,0.69731,0.647276
0.602423,0.59638,0.514873,0.428085,0.458224,0.403342,0.592981,0.193318,0.604859,0.653458,0.194422,0.304331,0.331012,0.876779,0.307419,0.551546,0.468864,0.460214,0.637615,0.304928,0.165934,0.437183,0.58807,0.191763,0.302964,0.29649,0.622579,0.485831,0.624232,0.639217
0.589554,0.577951,0.507359,0.407328,0.471441,0.281093,0.590804,0.172086,0.588204,0.636321,0.190435,0.295499,0.327495,0.585433,0.30147,0.658579,0.473525,0.433304,0.592772,0.439798,0.298724,0.433717,0.581261,0.541231,0.329866,0.324838,0.673466,0.488504,0.621032,0.59975
0.586522,0.558183,0.506544,0.479188,0.514765,0.448376,0.587269,0.188564,0.585704,0.442085,0.201158,0.302168,0.332525,0.600122,0.305508,0.516741,0.479463,0.485308,0.461158,0.504479,0.447332,0.471186,0.543189,0.203049,0.305201,0.328521,0.474004,0.469372,0.572836,0.447634
0.589606,0.59479,0.513513,0.447463,0.495613,0.29438,0.596635,0.191748,0.595416,0.596224,0.19198,0.293167,0.336202,0.81923,0.302656,0.614085,0.418492,0.476194,0.613962,0.415972,0.268022,0.46626,0.574152,0.192409,0.299028,0.331247,0.622266,0.485889,0.669686,0.637489
0.587201,0.580995,0.509397,0.432602,0.504801,0.257048,0.598685,0.18969,0.587448,0.59825,0.191238,0.297185,0.329201,0.710432,0.303433,0.745425,0.455392,0.465557,0.573046,0.314303,0.467181,0.42769,0.55869,0.50305,0.279835,0.32986,0.57427,0.463873,0.61719,0.597092
0.587515,0.576939,0.523737,0.436873,0.520408,0.394458,0.59379,0.194487,0.587907,0.537467,0.193225,0.292422,0.318456,0.892393,0.310077,0.548651,0.460924,0.523462,0.565447,0.487102,0.374903,0.453622,0.556951,0.191066,0.52763,0.305558,0.568633,0.465783,0.553521,0.566597
0.602681,0.60376,0.565171,0.476355,0.526212,0.47301,0.610552,0.190836,0.599424,0.432615,0.191687,0.304607,0.334025,0.758489,0.314863,0.546478,0.480947,0.507167,0.453757,0.471382,0.373819,0.474606,0.582107,0.359849,0.354209,0.337667,0.463229,0.507281,0.585102,0.44079
0.593472,0.597342,0.516107,0.462639,0.530123,0.427034,0.588266,0.193796,0.587772,0.500893,0.198859,0.307195,0.333962,0.523988,0.303669,0.509379,0.485823,0.528894,0.436916,0.497626,0.333155,0.479218,0.584555,0.197219,0.325323,0.332211,0.452978,0.498968,0.600171,0.522516
0.591379,0.587731,0.511486,0.495328,0.494842,0.46279,0.6091,0.178338,0.596177,0.538691,0.19217,0.303511,0.333784,0.568068,0.305328,0.567446,0.461723,0.476771,0.543382,0.48596,0.358,0.4737,0.570838,0.189474,0.463817,0.333199,0.547395,0.476707,0.512512,0.552194
0.593515,0.583572,0.521997,0.486715,0.532934,0.358565,0.595429,0.191564,0.595171,0.481345,0.194864,0.29815,0.325376,0.691753,0.305271,0.52198,0.463562,0.548886,0.511021,0.492394,0.431858,0.487536,0.579411,0.470916,0.298977,0.321559,0.422065,0.482864,0.629557,0.405517
0.583183,0.583303,0.527009,0.416871,0.491395,0.29212,0.584599,0.18791,0.584462,0.648915,0.190565,0.303743,0.332296,0.853251,0.307755,0.509924,0.500759,0.511206,0.605515,0.42045,0.239077,0.361276,0.587921,0.186734,0.328643,0.316407,0.606011,0.487793,0.694129,0.581938
0.604818,0.584015,0.509696,0.483875,0.50154,0.283528,0.605499,0.18521,0.602334,0.562336,0.199602,0.306119,0.337834,0.8756,0.308732,0.536601,0.481622,0.481886,0.559618,0.306643,0.150526,0.497463,0.571089,0.19769,0.402066,0.334933,0.587525,0.483908,0.66054,0.640022
0.575861,0.571346,0.491137,0.438224,0.480523,0.2405,0.581399,0.187937,0.577653,0.566292,0.197783,0.268071,0.331162,0.582431,0.304619,0.781573,0.496016,0.468102,0.576305,0.401126,0.233527,0.414433,0.548663,0.19678,0.347113,0.343949,0.553875,0.451231,0.597435,0.576977
0.582498,0.51179,0.503614,0.484936,0.543599,0.411088,0.591404,0.187539,0.586299,0.603363,0.201892,0.274066,0.333046,0.858353,0.307115,0.771012,0.496697,0.530677,0.620522,0.356547,0.18418,0.468324,0.549263,0.201081,0.289185,0.323388,0.602029,0.405599,0.521327,0.528342
0.549641,0.557093,0.57467,0.368472,0.460241,0.392724,0.548921,0.202004,0.549216,0.602145,0.209055,0.304175,0.313829,0.888739,0.291194,0.308699,0.464549,0.366349,0.647662,0.278438,0.108371,0.376281,0.558273,0.563864,0.298514,0.287235,0.60706,0.525676,0.769961,0.631365
0.395062,0.422525,0.596392,0.507178,0.506943,0.512988,0.388824,0.199453,0.396528,0.451231,0.214154,0.30511,0.343889,0.609477,0.292336,0.537725,0.507167,0.489418,0.497905,0.467147,0.407461,0.464143,0.401874,0.481509,0.424234,0.345107,0.507408,0.570491,0.48707,0.505649
0.570143,0.564795,0.504237,0.468695,0.446664,0.40681,0.583675,0.192002,0.577832,0.645569,0.198551,0.294816,0.332843,0.770624,0.307453,0.643372,0.515836,0.504582,0.72673,0.244711,0.084626,0.526638,0.532942,0.20067,0.311093,0.328012,0.731091,0.47849,0.741635,0.733241
0.589429,0.593236,0.532988,0.472438,0.523758,0.319405,0.596733,0.186645,0.588803,0.552461,0.196017,0.299051,0.337591,0.874621,0.306806,0.582882,0.484384,0.457181,0.549871,0.25229,0.100353,0.507639,0.582796,0.197779,0.33603,0.344501,0.553249,0.494356,0.59674,0.538819
0.585201,0.583581,0.52302,0.436385,0.445054,0.286654,0.586033,0.199562,0.58791,0.647408,0.202881,0.300726,0.336803,0.857115,0.305109,0.645649,0.498862,0.451574,0.640188,0.505358,0.470487,0.458346,0.577077,0.202775,0.325202,0.33342,0.650714,0.497032,0.629282,0.651004
0.56362,0.552014,0.481735,0.522359,0.488273,0.210919,0.57917,0.181858,0.575118,0.576289,0.195508,0.303513,0.331374,0.861555,0.304277,0.546554,0.524489,0.469637,0.638034,0.514027,0.298546,0.314205,0.554645,0.194784,0.329924,0.329861,0.62972,0.48003,0.630299,0.643999
0.579935,0.561724,0.493048,0.36219,0.456886,0.245063,0.582455,0.20351,0.582076,0.642661,0.208282,0.301117,0.34226,0.837948,0.308911,0.628788,0.439907,0.477031,0.633551,0.432797,0.306474,0.291498,0.559474,0.214305,0.347149,0.342209,0.656293,0.475402,0.645521,0.653447
0.591191,0.585893,0.509774,0.464568,0.497111,0.273126,0.600448,0.194254,0.59435,0.575981,0.207973,0.304235,0.329809,0.861891,0.307926,0.567226,0.450003,0.369166,0.624482,0.304393,0.082175,0.298223,0.572256,0.209252,0.338602,0.331024,0.627903,0.475973,0.625268,0.573361
0.583473,0.572773,0.499709,0.637312,0.502668,0.420904,0.586331,0.191649,0.586536,0.580468,0.203128,0.287625,0.325122,0.827583,0.306277,0.493144,0.615183,0.516655,0.528081,0.337103,0.108763,0.565196,0.575928,0.207678,0.43695,0.340224,0.573438,0.445861,0.513488,0.590598
0.578435,0.574129,0.494369,0.454865,0.496375,0.303835,0.586031,0.197572,0.580354,0.537138,0.209276,0.304002,0.344591,0.849821,0.310327,0.546856,0.478313,0.477732,0.594122,0.309472,0.166282,0.456145,0.570821,0.212199,0.332592,0.330196,0.62687,0.485977,0.646385,0.575165
0.578671,0.541909,0.481905,0.416752,0.490189,0.428772,0.577197,0.198714,0.557224,0.571032,0.209361,0.309859,0.340586,0.85444,0.305908,0.487908,0.46927,0.337987,0.601689,0.261101,0.097437,0.439734,0.577992,0.214508,0.321054,0.335196,0.553346,0.475437,0.577632,0.582383
0.569261,0.569189,0.497172,0.487747,0.454762,0.258656,0.582376,0.198922,0.572596,0.602519,0.208987,0.300207,0.35221,0.825878,0.310003,0.642731,0.464723,0.410547,0.584556,0.335244,0.198533,0.46335,0.56089,0.214743,0.373998,0.350959,0.603375,0.471205,0.462845,0.606002
0.592923,0.560973,0.482162,0.489584,0.465771,0.466668,0.592078,0.187107,0.599183,0.679073,0.192095,0.279899,0.344026,0.865161,0.305625,0.43398,0.511791,0.528382,0.720117,0.251267,0.090011,0.450861,0.546977,0.19756,0.334869,0.336547,0.709327,0.416557,0.501325,0.694895
0.600547,0.614283,0.532978,0.497633,0.531953,0.462216,0.603071,0.193743,0.599164,0.546479,0.194388,0.308013,0.338401,0.758176,0.304901,0.4471,0.493531,0.40573,0.464783,0.280446,0.111436,0.476706,0.604043,0.191902,0.345387,0.349772,0.523153,0.507827,0.590673,0.499865
0.59169,0.58175,0.522484,0.401284,0.471449,0.337611,0.599485,0.185848,0.595679,0.561634,0.198395,0.288083,0.342122,0.863206,0.307059,0.675435,0.457302,0.521426,0.521576,0.327028,0.1534,0.492507,0.579705,0.197907,0.303005,0.329559,0.528986,0.475465,0.599208,0.544607
0.597189,0.582592,0.506877,0.475128,0.499643,0.235845,0.60471,0.189025,0.594686,0.560487,0.200435,0.302008,0.34897,0.859819,0.307883,0.599082,0.521134,0.438451,0.607557,0.309883,0.166847,0.351229,0.595435,0.200368,0.348679,0.350738,0.560017,0.482552,0.630636,0.586945
0.598121,0.589677,0.520516,0.442668,0.492326,0.23952,0.604752,0.183048,0.597285,0.627273,0.196615,0.294003,0.333687,0.845027,0.311555,0.661332,0.467823,0.528563,0.665309,0.31915,0.079698,0.448258,0.597287,0.193606,0.309482,0.29966,0.632248,0.498049,0.464425,0.63946
0.578575,0.57454,0.502476,0.458676,0.445287,0.193135,0.603757,0.193111,0.579422,0.536477,0.205589,0.280902,0.333623,0.715133,0.305124,0.727066,0.483079,0.461892,0.677568,0.54546,0.563197,0.417725,0.562709,0.206175,0.314328,0.330186,0.675424,0.487286,0.54483,0.66453
0.560387,0.545939,0.499519,0.446907,0.483786,0.374624,0.579207,0.19831,0.567218,0.590716,0.208749,0.267499,0.354308,0.521538,0.308566,0.810475,0.392201,0.510207,0.653844,0.419857,0.10651,0.440725,0.553326,0.214922,0.408689,0.345152,0.590121,0.414594,0.619325,0.625824
0.567099,0.564865,0.511989,0.509787,0.501911,0.637137,0.578781,0.198025,0.562741,0.346824,0.209043,0.291321,0.343241,0.662746,0.311252,0.746103,0.497811,0.508489,0.319281,0.449037,0.336787,0.468246,0.537302,0.215807,0.481828,0.341994,0.329039,0.45375,0.480264,0.323544
0.543056,0.543339,0.507277,0.519499,0.521511,0.535617,0.580358,0.203138,0.541475,0.393793,0.209887,0.2806,0.339914,0.764942,0.305285,0.770731,0.489571,0.521888,0.446741,0.489249,0.37668,0.498493,0.521175,0.219303,0.336991,0.337245,0.419747,0.482233,0.543911,0.420958
