feature,abs_r,r,p_value,fdr_significant,mutual_info,selected_final
face wenli variance904,0.1533619169620396,0.1533619169620396,0.052849173263742895,False,0.09954879309838849,True
face wenli variance544,0.1562248626345911,0.1562248626345911,0.04852503037237229,False,0.09918026405798441,True
face wenli variance686,0.0886659690492672,-0.0886659690492672,0.2648720936970235,False,0.09711334660044213,True
right ear wenli variance398,0.1496963073467651,0.1496963073467651,0.05884646236192903,False,0.09610527481112041,True
left ear wenli mean480,0.09393472746070045,-0.09393472746070045,0.23740858002810714,False,0.08972833577793127,True
left ear wenli variance358,0.08233119232688679,-0.08233119232688679,0.30066461027356056,False,0.08358324822659347,True
face wenli variance648,0.15721059479849428,0.15721059479849428,0.04710604901430015,False,0.08353801568136121,True
face wenli variance179,0.1334225483309695,-0.1334225483309695,0.09257415893460492,False,0.08262560344082392,True
face wenli variance896,0.19944072104282332,0.19944072104282332,0.01145765369841823,False,0.08145035609829732,True
left ear wenli variance512,0.0825012042546801,0.0825012042546801,0.29966419001660727,False,0.07866826737411281,True
face wenli variance1163,0.0868947981940761,-0.0868947981940761,0.27457301018008284,False,0.0780366395044334,True
face wenli variance479,0.08763327561932649,0.08763327561932649,0.27049945650497165,False,0.07549648868303249,True
right ear wenli variance1303,0.16008424106091312,-0.16008424106091312,0.043165346567320975,False,0.07095202528287059,True
left ear wenli variance1400,0.09306851911328548,0.09306851911328548,0.2417812697720678,False,0.0699679894045333,True
face wenli variance895,0.12338312604286412,0.12338312604286412,0.12009016251049645,False,0.06904261524846067,True
face wenli mean464,0.07891628745406666,-0.07891628745406666,0.32122578276842223,False,0.067307336638182,True
right ear wenli variance1182,0.1320707594347815,0.1320707594347815,0.09595670553049568,False,0.06556367231639282,True
left ear wenli mean1280,0.09034494514250499,-0.09034494514250499,0.2558946032544323,False,0.06476149706109235,True
left ear wenli variance472,0.15325775978291206,0.15325775978291206,0.053012317045326725,False,0.06441951265660828,True
left ear wenli mean222,0.10513189079760671,-0.10513189079760671,0.1858128482873659,False,0.0613542792788746,True
left ear wenli variance214,0.14707966775724687,-0.14707966775724687,0.06346119816099266,False,0.06029176030275285,True
right ear wenli variance1294,0.0888936049328567,0.0888936049328567,0.26364248489391373,False,0.05942853141562665,True
face wenli variance1024,0.08562640332328177,0.08562640332328177,0.28166607944307687,False,0.059275073762169006,True
face wenli variance128,0.10115558294039573,-0.10115558294039573,0.20310213359260726,False,0.058412704411748395,True
right ear wenli variance1464,0.09221376217447676,-0.09221376217447676,0.2461508741340119,False,0.05773210284419816,True
right ear wenli variance1351,0.11830249492611253,-0.11830249492611253,0.13624381705989094,False,0.056916539220730256,True
left ear wenli variance496,0.10728130540169036,0.10728130540169036,0.17692828787891318,False,0.05496425246702108,True
face wenli variance526,0.1002575312667652,0.1002575312667652,0.20716260602754968,False,0.0547782337965792,True
left ear wenli variance1184,0.09137398111664048,0.09137398111664048,0.25049702096140053,False,0.0541906616465071,True
left ear wenli variance488,0.1435855486823088,0.1435855486823088,0.07008098788457234,False,0.053874120548715876,True
right ear wenli mean1230,0.08302858137155514,0.08302858137155514,0.2965748914050395,False,0.05335072033781563,False
right ear wenli variance191,0.15735346942027367,-0.15735346942027367,0.04690327565269444,False,0.05171250612147649,False
left ear wenli variance456,0.14541738540636343,0.14541738540636343,0.06654371247709141,False,0.05120973632183179,False
right ear wenli variance1287,0.14253162495713517,-0.14253162495713517,0.07218441863731494,False,0.050936398548493855,False
left ear wenli variance222,0.11186382791375318,-0.11186382791375318,0.1590399817541563,False,0.05078453652163195,False
face wenli mean376,0.09709312299769685,-0.09709312299769685,0.2219345572226637,False,0.04953389225168636,False
left ear wenli mean256,0.0843141912169145,-0.0843141912169145,0.2891326855735676,False,0.049460057373432065,False
left ear wenli mean248,0.11467270645929226,-0.11467270645929226,0.14876646175542838,False,0.04847653202612734,False
right ear wenli variance215,0.20304033002436167,-0.20304033002436167,0.010023372813076048,False,0.04826098368557896,False
face wenli variance560,0.14231882871720788,0.14231882871720788,0.07261527116040073,False,0.04771460298294827,False
right ear wenli mean334,0.11002395305557941,0.11002395305557941,0.16605194571428,False,0.047652980577576054,False
right ear wenli variance1230,0.10207277439258808,0.10207277439258808,0.1990147013537868,False,0.047346412146007655,False
face wenli variance583,0.08740577898477167,0.08740577898477167,0.2717499648528553,False,0.04712266020350575,False
face wenli variance552,0.1634688588520352,0.1634688588520352,0.03888160302043897,False,0.04701828541163078,False
face wenli mean1395,0.1067808697666941,0.1067808697666941,0.17896828915760032,False,0.0467731832915288,False
right ear wenli variance1423,0.1225458756669496,-0.1225458756669496,0.12264479905494854,False,0.04580997982832513,False
face wenli variance567,0.11953754898440506,0.11953754898440506,0.13217194497371468,False,0.04561435947645487,False
