feature,abs_r,r,p_value
right ear wenli variance223,0.2235870217279397,-0.2235870217279397,0.004482125156050345
right ear wenli variance350,0.20787404808965015,0.20787404808965015,0.008347463779508875
right ear wenli variance183,0.20730390299974388,-0.20730390299974388,0.00853128900461243
face wenli mean865,0.20369043326008807,0.20369043326008807,0.00978194210898678
face wenli mean889,0.20333334238407205,0.20333334238407205,0.009913912820171294
face wenli mean825,0.20306532317022272,0.20306532317022272,0.010013994764029501
face wenli mean985,0.20304365369265157,0.20304365369265157,0.010022125243727134
right ear wenli variance215,0.20304033002436167,-0.20304033002436167,0.010023372813076048
face wenli mean809,0.202202955917062,0.202202955917062,0.010342087667120903
face wenli mean857,0.20172215549236913,0.20172215549236913,0.010529094831274587
face wenli mean753,0.20123256349574925,0.20123256349574925,0.010722576592862434
face wenli mean729,0.20121204087848993,0.20121204087848993,0.010730754853617717
face wenli mean681,0.20111370755051963,0.20111370755051963,0.010770016934876699
face wenli mean801,0.20087236576686743,0.20087236576686743,0.01086691543878401
right ear wenli variance199,0.20046831543522686,-0.20046831543522686,0.011030859975945845
face wenli mean1033,0.2001070352527025,0.2001070352527025,0.011179289488145689
face wenli mean745,0.19987246276335172,0.19987246276335172,0.011276600110293645
face wenli variance896,0.19944072104282332,0.19944072104282332,0.01145765369841823
face wenli mean953,0.1994134193120021,0.1994134193120021,0.011469188281923826
face wenli mean721,0.1992868320173573,0.1992868320173573,0.01152280306340159
face wenli mean1001,0.19883571969459446,0.19883571969459446,0.011715662778324568
face wenli mean777,0.1986657041980249,0.1986657041980249,0.01178908036527831
face wenli mean833,0.19836418592863764,0.19836418592863764,0.011920279002076595
face wenli mean1009,0.19826189586739235,0.19826189586739235,0.011965078505882881
face wenli mean977,0.19819691345800172,0.19819691345800172,0.01199361528308489
face wenli mean697,0.1981258056491514,0.1981258056491514,0.0120249104644985
face wenli mean769,0.19804628846607247,0.19804628846607247,0.012059991580091738
face wenli mean873,0.19797044179425682,0.19797044179425682,0.012093537043175496
face wenli mean1017,0.1978958375806268,0.1978958375806268,0.012126612871984877
face wenli mean737,0.19741961995416918,0.19741961995416918,0.012339621508500648
face wenli mean1089,0.19710189129537092,0.19710189129537092,0.012483558458233025
face wenli mean929,0.19708758175619356,0.19708758175619356,0.012490075455390553
face wenli mean905,0.19696696483783377,0.19696696483783377,0.012545126734547607
face wenli mean937,0.19685306206651726,0.19685306206651726,0.012597308816035198
face wenli mean617,0.19683673712311306,0.19683673712311306,0.012604803306932718
face wenli mean841,0.19668096422665138,0.19668096422665138,0.012676512734975935
face wenli mean689,0.19658182367113702,0.19658182367113702,0.012722337721642411
