feature,coef,abs_coef
left ear wenli variance472,0.9347034421672867,0.9347034421672867
left ear wenli variance496,-0.8605983937983905,0.8605983937983905
face wenli variance686,-0.8015037521619591,0.8015037521619591
face wenli variance1024,-0.7450006586645541,0.7450006586645541
face wenli variance896,0.7026398339311541,0.7026398339311541
face wenli variance526,0.637520625582161,0.637520625582161
left ear wenli mean222,-0.6335166378379705,0.6335166378379705
face wenli variance895,0.597089480217597,0.597089480217597
right ear wenli variance1303,-0.5554315622742035,0.5554315622742035
left ear wenli variance512,-0.5552849306318222,0.5552849306318222
face wenli mean464,-0.5216081269960021,0.5216081269960021
right ear wenli variance1294,0.4628765948421018,0.4628765948421018
right ear wenli variance398,0.42835137681764934,0.42835137681764934
right ear wenli variance1464,-0.3916274104383519,0.3916274104383519
face wenli variance544,0.38889406491292083,0.38889406491292083
left ear wenli variance488,0.34394400975292383,0.34394400975292383
left ear wenli mean1280,-0.29052313777131766,0.29052313777131766
left ear wenli mean480,-0.2657686080645506,0.2657686080645506
right ear wenli variance1351,0.25702351790550265,0.25702351790550265
face wenli variance1163,-0.22532858136373862,0.22532858136373862
left ear wenli variance214,-0.21304183076578043,0.21304183076578043
left ear wenli variance358,-0.18719099338069073,0.18719099338069073
face wenli variance904,-0.17021538128739402,0.17021538128739402
right ear wenli variance1182,-0.11644572545851262,0.11644572545851262
face wenli variance128,-0.1066516267633951,0.1066516267633951
face wenli variance479,0.07319108141035538,0.07319108141035538
face wenli variance179,-0.06727171940494758,0.06727171940494758
left ear wenli variance1184,0.05647256462065891,0.05647256462065891
left ear wenli variance1400,0.0,0.0
face wenli variance648,0.0,0.0
